adjustable,flicker_free,mount_compatible,price,product_name,refresh_rate,resolution,response_time,review_count,review_rating,screen_curvature,video_inputs
Tilt Adjustable,Flicker-Free Technology,VESA Mount Compatible,149.99,"BenQ GL2780 27"" Full HD 1920 x 1080 75Hz 1ms VGA DVI HDMI DisplayPort Built-in Speakers Flicker-Free Technology LED Backlit LCD Monitor",75Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,137,4,,
"Height, Pivot, Swivel, Tilt Adjustable",,VESA Mount Compatible,599.99,"ViewSonic ELITE XG270QG 27"" Quad HD 2560 x 1440 2K 1ms (GTG W/OD) 144Hz HDMI DisplayPort USB 3.1 Hub NVIDIA G-Sync Built-in Speakers Anti-Glare Backlit LED IPS Gaming Monitor",144Hz Refresh Rate,2560 x 1440 Quad HD 2K Resolution,5ms (GTG) / 1ms (GTG W/OD) Response Time ,16,5,,"HDMI (1.4), DisplayPort Video Inputs"
"Tilt, Swivel, Pivot, Height Adjustable",,VESA Mount Compatible,199.99,"ASUS VG275Q Black 27"" Full HD 1920 x 1080 75Hz 1ms 2xHDMI VGA DisplayPort FreeSync Adaptive Sync ASUS Eye Care Ultra Low-Blue Light Flicker-Free Technology Backlit LED Console Gaming Monitor",75Hz Refresh Rate,1920 x 1080 Full HD Resolution,1ms Response Time,16,5,,"2 x HDMI, VGA, DisplayPort Video Inputs"
Tilt Adjustable,Flicker-Free Technology,VESA Mount Compatible,119.99,"BenQ GL2480 24"" Full HD 1920 x 1080 1ms (GTG) 60 Hz D-Sub, DVI, HDMI Low Blue Light Flicker-Free Technology BenQ Eye-Care LED Backlit LCD Monitor",,1920 x 1080 Full HD Resolution,1ms Response Time,19,5,,
Tilt Adjustable,,VESA Mount Compatible,349.99,"Acer EI272UR Pbmiiipx 27"" WQHD 2560 x 1440 144Hz 2K 4ms (GTG) 144Hz 3xHDMI DisplayPort Built-in Speakers AMD FreeSync 2 Backlit LED Curved Gaming Monitor",144Hz Refresh Rate,2560 x 1440 WQHD 2K Resolution,4ms (GTG) Response Time,39,4,,"3 x HDMI, DisplayPort Video Inputs"
Tilt Adjustable,Asus Eye Care with Flicker-Free Technology,VESA Mount Compatible,99.99,"ASUS VS Series VS228H-P 22"" (21.5"" Diagonal) Full HD 1920 x 1080 5ms HDMI VGA DVI-D SPLENDID Video Intelligence Technology Asus Eye Care Flicker-Free Widescreen LED Backlight LCD Monitor",,1920 x 1080 Full HD Resolution,5ms Response Time,,4,,
,,,229.99,"HP 32f Ultra Slim LED IPS LCD 31.5"" 1080p Monitor Dual HDMI VGA - 6XJ00AAT",,"31.5"" IPS LED monitor, FHD 1920x1080 @ 60 Hz Resolution",,10,5,,
,,,166,"ASUS VP248QGL 24"" Full HD 1920 x 1080 1ms DP HDMI VGA Adaptive Sync/FreeSync Eye Care Monitor",,,,6,4,,
"Tilt Adjustable ",,,293.46,"Acer R Series R271 bid Black 27"" IPS 4ms (GTG) Widescreen LED Blacklight LCD 1920 x 1080 FHD, Ultra-Sim Framless Design, w/ AcerFlicker Less Technology, Vision Health Technologies",,,,12,4,,
Tilt Adjustable,Asus Eye Care with Ultra Low Blue Light and Flicker-Free Technology,VESA Mount Compatible,127,"ASUS VP228HE 22"" (21.5"" Diagonal) Full HD 1920 x 1080 1ms HDMI VGA Asus Eye Care with Ultra Low-Blue Light and Flicker-Free Technology WideScreen LED Backlit Monitor",,1920 x 1080 Full HD Resolution,1ms Response Time,37,4,,"HDMI, VGA Video Inputs"
Tilt Adjustable,,,369,"Acer XG270HU omidpx 27"" 2K 2560 x 1440 1ms 144Hz AMD FreeSync Technology Edge-to-Edge Frameless Design DVI-D HDMI DisplayPort Built-in Speakers LED Backlit LCD Gaming Monitor",Up to 144Hz Refresh Rate,2560 x 1440 2K QHD Resolution,1ms Response Time,345,4,,
,,,204.99,"Acer KA272U biipx UM.HX2AA.004 27"" QHD 2560 x 1440 (2K) 1 ms VBR 75 Hz 2 x HDMI, DisplayPort AMD RADEON FreeSync Technology Gaming Monitor","75Hz Refresh Rate","27"" IPS Panel with 2560x1440 WQHD Resolution","1ms VRB Response Time",34,4,,
,,,394.99,"ASUS VZ279H Frameless 27"" 5ms (GTG) IPS Widescreen LCD/LED Monitors, HDMI 1920 x 1080 Ultra-Slim Design, w/ Eye Care Feature and Flicker Free Technology, 178/178 Viewing Angle and Built-in Speakers",,,,,,,
,,,668.98,"ASUS VZ27VQ 27"" 1920 x 1080 5ms (Gray to Gray) LCD/LED Monitor",,,,,,,
,,,78,"Fullcom Tech 15.6"" WXGA HD eDP 30pin Glossy LED LCD Screen/display fits Lenovo G50-30 G50-45 G50-70 G50-80",,Resolution: 1366X768  ,,1,5,,
,,,68.9,"Fullcom Tech 15.6"" Full-HD 1920x1080 Laptop LED LCD Replacement Screen/Panel Compatible for Chi Mei N156hge-eab Rev.c1",,Resolution: 1920*1080 (Full HD)  ,,1,5,,
,Flicker-Free and Blue Light Filter technology for more comfortable viewing,,227.04,"ViewSonic VA2855SMH 28"" Full HD 1080P SuperClear Monitor, 3000:1, 300cd/m2, HDMI&VGA, Built-in Internal Speaker, VESA Mountable",,,,36,4,,
,,,149,"AOC I2267FW 22-Inch Class IPS Frameless/Slim LED Monitor, Full HD,250 cd/m2 Brightness,5ms,50M:1 DCR,VGA/DVI",,,,33,4,,
"Tilt, Height Adjustable, VESA Mount",,"Tilt, Height Adjustable, VESA Mount",449,"Acer Predator Z1 (Z301C Tbmiphzx) Black 29.5"" VA 4ms (GTG) 144 Hz, 2560 x 1080 (2K) 21:9, NVIDIA G-Sync Ultra-wide 1800R Curved Gaming Monitor, VisionCare Technology, 2 x 3W Speakers",,,,5,5,,
,,,837.48,"LG 34UM67 Glossy Black 34"" Adaptive-Sync( Free-Sync) IPS UltraWide LED Monitor HDMI Displayport Built-in Speakers",,,,4,5,,
